Date,Customer_ID,Historical_Sales,Customer_Trends_Score,Sales_Channel,Revenue
2018-01-01 00:00:00,3802,10000.0,0.136244,Online,23000.0
2018-01-01 01:00:00,2407,10000.1,0.136246,Online,23000.23
2018-01-01 02:00:00,4992,10000.2,0.136247,Online,23000.46
2018-01-01 03:00:00,3457,10000.3,0.136249,Wholesale,22000.66
2018-01-01 04:00:00,1199,10000.4,0.13625,Online,23000.92
2018-01-01 05:00:00,2237,10000.5,0.136252,Retail,25001.25
2018-01-01 06:00:00,4588,10000.6,0.136253,Online,23001.38
2018-01-01 07:00:00,3550,10000.7,0.136255,Retail,25001.75
2018-01-01 08:00:00,4648,10000.8,0.136256,Retail,25002.0
2018-01-01 09:00:00,1340,10000.9,0.136258,Wholesale,22001.98
2018-01-01 10:00:00,2670,10001.0,0.13626,Wholesale,22002.2
2018-01-01 11:00:00,2047,10001.1,0.136261,Retail,25002.7501
2018-01-01 12:00:00,2405,10001.2,0.136263,Wholesale,22002.6401
2018-01-01 13:00:00,1377,10001.3,0.136264,Retail,25003.2501
2018-01-01 14:00:00,3103,10001.4,0.136266,Online,23003.2201
2018-01-01 15:00:00,3029,10001.5,0.136267,Wholesale,22003.3001
2018-01-01 16:00:00,1332,10001.6,0.136269,Online,23003.6801
2018-01-01 17:00:00,4402,10001.7,0.13627,Online,23003.9101
2018-01-01 18:00:00,2485,10001.8,0.136272,Online,23004.1401
2018-01-01 19:00:00,1059,10001.9,0.136273,Wholesale,22004.1801
2018-01-01 20:00:00,3784,10002.0,0.136275,Wholesale,22004.4001
2018-01-01 21:00:00,2964,10002.1,0.136276,Wholesale,22004.6201
2018-01-01 22:00:00,3176,10002.2,0.136278,Online,23005.0601
2018-01-01 23:00:00,4853,10002.3,0.136279,Retail,25005.7501
2018-01-02 00:00:00,1863,10002.4,0.136281,Wholesale,22005.2801
2018-01-02 01:00:00,2411,10002.5001,0.136282,Retail,25006.2501
2018-01-02 02:00:00,2903,10002.6001,0.136284,Retail,25006.5001
2018-01-02 03:00:00,3932,10002.7001,0.136286,Online,23006.2101
2018-01-02 04:00:00,1155,10002.8001,0.136287,Retail,25007.0001
2018-01-02 05:00:00,2556,10002.9001,0.136289,Retail,25007.2501
2018-01-02 06:00:00,3774,10003.0001,0.13629,Online,23006.9001
2018-01-02 07:00:00,1367,10003.1001,0.136292,Online,23007.1301
2018-01-02 08:00:00,3255,10003.2001,0.136293,Wholesale,22007.0401
2018-01-02 09:00:00,4837,10003.3001,0.136295,Wholesale,22007.2601
2018-01-02 10:00:00,1406,10003.4001,0.136296,Wholesale,22007.4801
2018-01-02 11:00:00,1587,10003.5001,0.136298,Online,23008.0502
2018-01-02 12:00:00,4487,10003.6001,0.136299,Retail,25009.0002
2018-01-02 13:00:00,1567,10003.7001,0.136301,Wholesale,22008.1402
2018-01-02 14:00:00,4406,10003.8001,0.136302,Retail,25009.5002
2018-01-02 15:00:00,4209,10003.9001,0.136304,Retail,25009.7502
2018-01-02 16:00:00,4275,10004.0001,0.136305,Wholesale,22008.8002
2018-01-02 17:00:00,1614,10004.1001,0.136307,Wholesale,22009.0202
2018-01-02 18:00:00,2359,10004.2001,0.136308,Retail,25010.5002
